,urn,title,authors,year
4057,URN:NBN:no-nb_digibok_2008051903001,Practisk Veiledning i Modersmaalet,"Hansen , Maurits / R. Hviids Enke / Hansen , G.",1836
1005,URN:NBN:no-nb_digibok_2008100204004,Lesebok i Landsmaalet,"Paulson , Olav",1869
2837,URN:NBN:no-nb_digibok_2016051048047,Modersmaalets Grammatik til Skolebrug,"Løkke , Jakob",1871
1931,URN:NBN:no-nb_digibok_2008102300083,Modersmaalets Grammatik til Skolebrug,"Løkke , Jakob",1874
3025,URN:NBN:no-nb_digibok_2009072900109,Retskrivningsregler til skolebrug,"Jynge , Anton / Schreiner , E.",1874
398,URN:NBN:no-nb_digibok_2009072800065,Dansk og norsk literaturhistorie : til skolebrug,"Erichsen , A. E. ( Andreas Emil )",1878
4288,URN:NBN:no-nb_digibok_2013042608083,"Læsebog for aftenskoler, amtsskoler og højere folkeskoler","Julsrud , Johan",1879
805,URN:NBN:no-nb_digibok_2007061512008,Abc Bok,"Austlid , Andreas",1880
1229,URN:NBN:no-nb_digibok_2009012700027,Lesebok i det norske folkemaal for høgre skular,"Garborg , Arne / Mortensson-Egnund , Ivar",1885
4708,URN:NBN:no-nb_digibok_2011060704046,Læsebog i modersmaalet for folkeskolens og middelskolens høiere klasser samt for amts- og folkehøiskoler,"Broch , Chr . / Seip , M.",1886
4541,URN:NBN:no-nb_digibok_2017060748146,Lehrbuch der Norwegischen Sprache für den Selbstunterricht,"Poestion , J. C.",1890
2294,URN:NBN:no-nb_digibok_2009020403014,Lesebok fyr høgre skular,"Garborg , Arne / Mortensson-Egnund , Ivar",1893
864,URN:NBN:no-nb_digibok_2008040104099,Utvalde lesestykke i bygdemaal og landsmaal : Lesebok for høgre skular,"Garborg , Arne / Mortensen , Ivar",1893
3657,URN:NBN:no-nb_digibok_2019103148016,Læsebog for folkeskolen. D. 1(Landsmaalsudg.),"Rolfsen , Nordahl",1893
247,URN:NBN:no-nb_digibok_2012112012001,Læsebog for folkeskolen. D. 5,"Rolfsen , Nordahl",1895
3275,URN:NBN:no-nb_digibok_2012070612003,Læsebog for folkeskolen. Halvb. 1,"Rolfsen , Nordahl",1897
